,Id,game_result
0,45001,0
1,45002,0
2,45003,1
3,45004,1
4,45005,0
5,45006,0
6,45007,0
7,45008,0
8,45009,0
9,45010,1
10,45011,0
11,45012,0
12,45013,0
13,45014,0
14,45015,1
15,45016,1
16,45017,1
17,45018,1
18,45019,0
19,45020,0
20,45021,0
21,45022,0
22,45023,0
23,45024,0
24,45025,1
25,45026,0
26,45027,0
27,45028,1
28,45029,0
29,45030,0
30,45031,0
31,45032,0
32,45033,1
33,45034,0
34,45035,1
35,45036,1
36,45037,1
37,45038,0
38,45039,0
39,45040,0
40,45041,1
41,45042,0
42,45043,0
43,45044,1
44,45045,1
45,45046,1
46,45047,0
47,45048,1
48,45049,0
49,45050,0
50,45051,0
51,45052,0
52,45053,0
53,45054,1
54,45055,0
55,45056,1
56,45057,0
57,45058,0
58,45059,0
59,45060,0
60,45061,1
61,45062,0
62,45063,1
63,45064,0
64,45065,0
65,45066,1
66,45067,0
67,45068,0
68,45069,0
69,45070,0
70,45071,0
71,45072,0
72,45073,0
73,45074,1
74,45075,0
75,45076,0
76,45077,1
77,45078,0
78,45079,1
79,45080,1
80,45081,0
81,45082,0
82,45083,1
83,45084,0
84,45085,1
85,45086,0
86,45087,1
87,45088,0
88,45089,1
89,45090,0
90,45091,0
91,45092,0
92,45093,0
93,45094,1
94,45095,1
95,45096,0
96,45097,0
97,45098,0
98,45099,1
99,45100,0
100,45101,0
101,45102,0
102,45103,0
103,45104,1
104,45105,1
105,45106,0
106,45107,1
107,45108,0
108,45109,0
109,45110,0
110,45111,0
111,45112,0
112,45113,0
113,45114,0
114,45115,1
115,45116,1
116,45117,0
117,45118,0
118,45119,0
119,45120,0
120,45121,0
121,45122,0
122,45123,0
123,45124,0
124,45125,0
125,45126,0
126,45127,1
127,45128,0
128,45129,1
129,45130,0
130,45131,0
131,45132,0
132,45133,0
133,45134,0
134,45135,1
135,45136,1
136,45137,1
137,45138,1
138,45139,0
139,45140,0
140,45141,0
141,45142,1
142,45143,0
143,45144,0
144,45145,0
145,45146,1
146,45147,0
147,45148,1
148,45149,0
149,45150,1
150,45151,0
151,45152,1
152,45153,1
153,45154,0
154,45155,1
155,45156,0
156,45157,0
157,45158,0
158,45159,0
159,45160,1
160,45161,0
161,45162,0
162,45163,1
163,45164,0
164,45165,1
165,45166,0
166,45167,1
167,45168,0
168,45169,0
169,45170,0
170,45171,0
171,45172,0
172,45173,0
173,45174,0
174,45175,1
175,45176,0
176,45177,0
177,45178,0
178,45179,0
179,45180,0
180,45181,0
181,45182,0
182,45183,0
183,45184,1
184,45185,0
185,45186,1
186,45187,0
187,45188,1
188,45189,1
189,45190,0
190,45191,0
191,45192,0
192,45193,0
193,45194,0
194,45195,1
195,45196,1
196,45197,1
197,45198,1
198,45199,0
199,45200,1
200,45201,0
201,45202,1
202,45203,0
203,45204,1
204,45205,0
205,45206,0
206,45207,1
207,45208,0
208,45209,0
209,45210,0
210,45211,1
211,45212,1
212,45213,0
213,45214,1
214,45215,0
215,45216,0
216,45217,0
217,45218,0
218,45219,0
219,45220,1
220,45221,0
221,45222,1
222,45223,0
223,45224,1
224,45225,0
225,45226,0
226,45227,0
227,45228,1
228,45229,0
229,45230,1
230,45231,0
231,45232,0
232,45233,0
233,45234,0
234,45235,1
235,45236,0
236,45237,0
237,45238,1
238,45239,0
239,45240,0
240,45241,0
241,45242,0
242,45243,0
243,45244,0
244,45245,1
245,45246,0
246,45247,1
247,45248,0
248,45249,0
249,45250,0
250,45251,0
251,45252,1
252,45253,0
253,45254,1
254,45255,0
255,45256,0
256,45257,0
257,45258,0
258,45259,0
259,45260,1
260,45261,0
261,45262,0
262,45263,0
263,45264,0
264,45265,0
265,45266,1
266,45267,0
267,45268,0
268,45269,0
269,45270,1
270,45271,0
271,45272,0
272,45273,0
273,45274,0
274,45275,0
275,45276,0
276,45277,0
277,45278,0
278,45279,0
279,45280,0
280,45281,0
281,45282,0
282,45283,1
283,45284,0
284,45285,0
285,45286,0
286,45287,0
287,45288,0
288,45289,0
289,45290,0
290,45291,1
291,45292,0
292,45293,0
293,45294,0
294,45295,0
295,45296,0
296,45297,0
297,45298,0
298,45299,0
299,45300,0
300,45301,0
301,45302,0
302,45303,1
303,45304,1
304,45305,1
305,45306,0
306,45307,0
307,45308,1
308,45309,0
309,45310,1
310,45311,0
311,45312,0
312,45313,1
313,45314,0
314,45315,0
315,45316,1
316,45317,0
317,45318,0
318,45319,0
319,45320,0
320,45321,0
321,45322,1
322,45323,0
323,45324,1
324,45325,0
325,45326,1
326,45327,0
327,45328,0
328,45329,1
329,45330,0
330,45331,1
331,45332,0
332,45333,0
333,45334,1
334,45335,1
335,45336,0
336,45337,1
337,45338,1
338,45339,0
339,45340,1
340,45341,1
341,45342,0
342,45343,0
343,45344,0
344,45345,0
345,45346,1
346,45347,0
347,45348,1
348,45349,0
349,45350,0
350,45351,1
351,45352,0
352,45353,0
353,45354,0
354,45355,0
355,45356,0
356,45357,0
357,45358,0
358,45359,0
359,45360,0
360,45361,1
361,45362,0
362,45363,0
363,45364,0
364,45365,0
365,45366,1
366,45367,1
367,45368,1
368,45369,0
369,45370,0
370,45371,0
371,45372,0
372,45373,0
373,45374,0
374,45375,0
375,45376,0
376,45377,0
377,45378,0
378,45379,1
379,45380,0
380,45381,0
381,45382,0
382,45383,0
383,45384,1
384,45385,1
385,45386,0
386,45387,0
387,45388,1
388,45389,0
389,45390,0
390,45391,0
391,45392,0
392,45393,0
393,45394,1
394,45395,1
395,45396,1
396,45397,0
397,45398,0
398,45399,0
399,45400,1
400,45401,1
401,45402,1
402,45403,0
403,45404,0
404,45405,1
405,45406,0
406,45407,0
407,45408,0
408,45409,0
409,45410,0
410,45411,1
411,45412,1
412,45413,1
413,45414,0
414,45415,0
415,45416,0
416,45417,0
417,45418,1
418,45419,1
419,45420,1
420,45421,1
421,45422,0
422,45423,0
423,45424,0
424,45425,0
425,45426,0
426,45427,1
427,45428,0
428,45429,0
429,45430,1
430,45431,1
431,45432,0
432,45433,0
433,45434,0
434,45435,0
435,45436,0
436,45437,0
437,45438,0
438,45439,0
439,45440,0
440,45441,0
441,45442,0
442,45443,1
443,45444,0
444,45445,0
445,45446,1
446,45447,0
447,45448,0
448,45449,0
449,45450,0
450,45451,0
451,45452,0
452,45453,0
453,45454,0
454,45455,1
455,45456,1
456,45457,0
457,45458,0
458,45459,1
459,45460,0
460,45461,0
461,45462,1
462,45463,0
463,45464,0
464,45465,0
465,45466,0
466,45467,0
467,45468,0
468,45469,0
469,45470,0
470,45471,0
471,45472,1
472,45473,0
473,45474,0
474,45475,1
475,45476,0
476,45477,0
477,45478,1
478,45479,1
479,45480,1
480,45481,1
481,45482,0
482,45483,1
483,45484,0
484,45485,0
485,45486,0
486,45487,0
487,45488,0
488,45489,0
489,45490,0
490,45491,0
491,45492,0
492,45493,0
493,45494,0
494,45495,1
495,45496,1
496,45497,0
497,45498,1
498,45499,1
499,45500,1
500,45501,1
501,45502,0
502,45503,0
503,45504,1
504,45505,0
505,45506,0
506,45507,1
507,45508,1
508,45509,1
509,45510,0
510,45511,0
511,45512,1
512,45513,1
513,45514,0
514,45515,0
515,45516,0
516,45517,1
517,45518,0
518,45519,0
519,45520,1
520,45521,0
521,45522,0
522,45523,0
523,45524,0
524,45525,1
525,45526,0
526,45527,1
527,45528,0
528,45529,0
529,45530,0
530,45531,0
531,45532,0
532,45533,1
533,45534,0
534,45535,1
535,45536,1
536,45537,1
537,45538,0
538,45539,1
539,45540,0
540,45541,1
541,45542,1
542,45543,0
543,45544,0
544,45545,0
545,45546,0
546,45547,0
547,45548,1
548,45549,1
549,45550,0
550,45551,0
551,45552,0
552,45553,0
553,45554,0
554,45555,1
555,45556,0
556,45557,1
557,45558,1
558,45559,0
559,45560,0
560,45561,0
561,45562,0
562,45563,0
563,45564,0
564,45565,0
565,45566,0
566,45567,0
567,45568,1
568,45569,0
569,45570,0
570,45571,0
571,45572,0
572,45573,1
573,45574,1
574,45575,0
575,45576,0
576,45577,0
577,45578,1
578,45579,1
579,45580,1
580,45581,1
581,45582,1
582,45583,0
583,45584,1
584,45585,1
585,45586,1
586,45587,1
587,45588,0
588,45589,0
589,45590,0
590,45591,0
591,45592,0
592,45593,0
593,45594,0
594,45595,0
595,45596,0
596,45597,0
597,45598,1
598,45599,1
599,45600,0
600,45601,0
601,45602,1
602,45603,0
603,45604,0
604,45605,1
605,45606,0
606,45607,1
607,45608,0
608,45609,1
609,45610,0
610,45611,0
611,45612,0
612,45613,0
613,45614,0
614,45615,0
615,45616,1
616,45617,0
617,45618,1
618,45619,0
619,45620,1
620,45621,1
621,45622,1
622,45623,0
623,45624,1
624,45625,0
625,45626,0
626,45627,0
627,45628,0
628,45629,0
629,45630,0
630,45631,0
631,45632,0
632,45633,1
633,45634,1
634,45635,1
635,45636,1
636,45637,1
637,45638,0
638,45639,0
639,45640,0
640,45641,0
641,45642,0
642,45643,0
643,45644,1
644,45645,0
645,45646,1
